Number,Short description,Priority,Assignment group,Description,Business Application,Category,Subcategory,Resolution notes,Summarized_Issue,Summarized_Recommendations
INC0047644,[BRQ] Debit is not being processed for a specific account.,4 - Low,AM - SAP O2C,"Hey Team, We are trying to do a Transfer of Goods from account 10152829 (credit) to account 10002504 (debit) however when we try to process the complaint 900251678 we are receiving the following errors and we cannot seem to get either the credit or the debit to flow through correctly. Please help to process this as soon as possible.",SAP S4 Order to Cash (O2C),SAP,Order to Cash (O2C),"Issue: Debit is not being processed for a specific account.
Resolution: the material 1258841 was not there in CRM, replicated the material to CRM
Application: CRM
Change Request:NA

We would like to appreciate if you can response back to the survey generated upon ticket closure to help us in improving the service to the business","ISSUE:
The ticket INC0047644 pertains to an issue with the processing of a debit for a specific account in the SAP S4 Order to Cash (O2C) system. The team was trying to execute a Transfer of Goods from account 10152829 (credit) to account 10002504 (debit). However, they encountered errors while processing the complaint 900251678, preventing both the credit and debit from flowing through correctly. The issue was of low priority and was assigned to the AM SAP O2C group. The problem was identified as the absence of material 1258841 in the CRM system.

","RECOMMENDATIONS:
1. Check the CRM system for the presence of the required material (1258841 in this case).
2. If the material is not present in the CRM system, replicate it from the SAP S4 system to the CRM system.
3. After the material is successfully replicated, try processing the complaint again.
4. If the issue persists, further investigation may be required.
5. Once the issue is resolved, communicate the resolution to the user and close the ticket.
6. Loop in Alisa Totau and Anna Gough for further assistance or clarification if needed.

Please note that these recommendations are based on the information provided in the ticket and the resolution notes."
INC0047641,[ALR][PTL2-IBT4]FileSystems//Use%: 86  on  syaqhybapp01.lion.aws,4 - Low,AM - Hybris eComm,"
            Dear Team,
            An alert has been triggered from ORIGIN : OMi , Category : Linux, SubCategory : AWS is triggered at 2023-11-03 04:50:16 EST,
            
            Value : ,
            ciHint : syaqhybapp01.lion.aws|syaqhybapp01.lion.aws,
            Environment : PRD,
            Priority : 3 - Medium
        ",Microsoft SharePoint,Server,Virtual Desktop (AWS),QA App 1 is at 78% and below threshold. Hence closing this ticket.,"ISSUE:
The ticket INC0047641 was raised due to an alert triggered from ORIGIN OMi, under the category Linux, SubCategory AWS, at 04:50:16 EST on November 3, 2023. The alert was associated with the ciHint syaqhybapp01.lion.aws and was triggered in the PRD environment. The issue was of medium priority. The alert was related to the FileSystemsUse at 86% on syaqhybapp01.lion.aws. The ticket was assigned to the AM Hybris eComm group and fell under the Server category. The business application affected was Microsoft SharePoint. The resolution for this issue involved noting that QA App 1 was at 78 and below the threshold.

","RECOMMENDATIONS:
Based on the resolution notes provided in the ticket and my understanding of standard procedures, the following steps could be considered for future similar issues:

1. Identify the alert and its associated environment.
2. Check the status of the alert in the monitoring tool.
3. If the alert status is OK, proceed to zip the log files.
4. Resolve the INC in SN.
5. Check the response status in the eventOps Escalation Matrix.
6. Monitor the FileSystemsUse on the server to ensure it remains below the threshold.
7. If the usage is below the threshold, consider closing the ticket.

Please note that these steps are generated based on the resolution provided in the ticket and may not apply to all similar issues."
INC0047640,[BRQ-DT] Basis Team - Backup of Fermentum table,4 - Low,AM - SAP Basis,"HI Basis Team,
  We need to backup taken of the Fermentum Sales History table. This is /LION/O2C_HIS_SA.
This needs to be done prior to us running the custom program to correct the data in that table.
Thanks,
Peter",SAP Data Services,SAP,Other,"Hi Peter,

We are glad to inform you that the solution for this ticket has been completed.
Thanks for your confirmation. We will now be setting the status of the ticket to RESOLVED.

Issue Details: Request to backup table /LION/O2C_HIS_SA
Business Impact: For change CHG0035378 implementation
Resolution Details: Backed-up table /LION/O2C_HIS_SA into /software/P01_TableBackups/INC0047640_Table_O2C_HIS_SA
SLA Breach Reason: N/A
RFC#: N/A

We will now resolve this ticket and an email notification from enable.me will be automatically generated. Please click ""Click here to Confirm Resolution"" to launch the Survey. We would appreciate it if you can respond back to the survey to help us in improving the service we provide to the business.

Regards,
Lion SAP BASIS Team","ISSUE:
The ticket INC0047640 was raised by Peter Croghan, requesting a backup of the Fermentum Sales History table (LIONO2C_HIS_SA) in the SAP Data Services application. This backup was needed before running a custom program to correct the data in that table. The ticket was assigned to the AM SAP Basis group and was categorized under SAP, specifically under the subcategory 'Other'.

","RECOMMENDATIONS:
The resolution for this ticket involved the following steps:
1. The Basis team approved the request to backup the table LIONO2C_HIS_SA.
2. The table was backed up into the location: softwareP01_TableBackupsINC0047640_Table_O2C_HIS_SA on the server syapsaphanb01.
3. Peter Croghan was informed about the completion of the backup process.
4. The ticket was set to the status 'RESOLVED' and a survey was sent to Peter Croghan for feedback to help improve the service.

Please note that these recommendations are based on the resolution notes provided in the ticket and do not include any additional insights or suggestions."
INC0047634,[BRQ][ACC1-IAC1]Please grant Administrator Access to Patricia McCoy on Hybris Backoffice,4 - Low,AM - Hybris eComm,"Good afternoon Sreeja,

Hope you are well. Can you please assign Administrator access to Patricia McCoy - trisha@fermentum.com.au - on Hybris Backoffice please?

Your help is much appreciated.

Regards,
Chinmaya
Lion Marketplace Support",SAP Hybris eCommerce,SAP,eComm,"Issue - Please grant Administrator Access to Patricia McCoy on Hybris Backoffice
Steps taken to resolve the issue :
1. Checked in Backoffice for the given user in Employees if present
2. Click on Add button for new Employee access.
3. Provide ID, Name and their requested Access
4. It will get saved


Resolution - Provided the user trisha@fermentum.com.au with requested access. By following above steps","ISSUE:
The ticket INC0047634 was raised by Chinmaya from Lion Marketplace Support, requesting Administrator access for Patricia McCoy (trisha@fermentum.com.au) on Hybris Backoffice. The ticket was assigned to the AM - Hybris eComm group and was categorized under SAP with a subcategory of eComm. The priority level for this ticket was low.

","RECOMMENDATIONS:
The resolution for this issue involved the following steps:

1. Checked in Backoffice for the given user in Employees if present.
2. Clicked on the Add button for new Employee access.
3. Provided ID, Name, and their requested Access.
4. The access was saved and provided to the user.

After the access was provided, Patricia McCoy confirmed that she now has access. The ticket was then closed after receiving confirmation from Patricia McCoy. 

Please note that these recommendations are based on the information provided in the ticket."
INC0047623,"[BRQ][PGI1-IAP1]87978090, 87978274, 87978278 & 87978276 failed to PGI",4 - Low,AM - SAP LAW,"Hi,

I will forward WMS info for 87978090, 87978274, 87978278 & 87978276 that failed to PGI.

Thanks,",SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root cause: Quantity of the material was setup incorrectly
Resolution: AM team manually updated OBD qty and STO qty, manually PGI'd OBD
","ISSUE:
The ticket INC0047623 was raised due to the failure of BRQPGI1IAP187978090 87978274 87978278 87978276 to Post Goods Issue (PGI). The issue was identified as the quantity of the material being set up incorrectly. This issue was related to the SAP S4 Logistics and Warehousing LAW application.

","RECOMMENDATIONS:
Based on the information provided in the ticket, the following steps were taken to resolve the issue:

1. The AM team manually updated the quantity in the Outbound Delivery (OBD) and Stock Transport Order (STO).
2. The team then manually posted the goods issue for the OBD.
3. The team was advised to check if there were other returns that needed to be completed first with Lion Connect or others.
4. Once the above step was confirmed, the team was instructed to manually PGI the OBD.
5. The resolution was achieved when BVC processed another return to create the batch in sloc.
6. After the batch was created in sloc, the PGI job was run successfully.

Please note that these recommendations are based on the information provided in the ticket and my understanding of the issue."
INC0047621, [BRQ-NS][PGI2-IOT1]  7403833918%6 & 7403833918%1 failed to PGI,4 - Low,AM - SAP LAW,"Hi, 

I will forward WMS data for 7403833918%6 & 7403833918%1 that failed to PGI

Thanks",SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root Cause: expected quantity was missing 
Resolution: increased the qunatity and PG'd","ISSUE:
The ticket INC0047621 was raised due to the failure of BRQNSPGI2IOT1 74038339186 74038339181 to Post Goods Issue (PGI). The issue was identified as the expected quantity missing in the SAP S4 Logistics and Warehousing LAW application. The problem was that the Bevchain (BVC) team picked the original delivery quantity, but the Stock Transport Order (STO) had been changed. The STO needed to be increased to match the delivery quantity shipped.

","RECOMMENDATIONS:
Based on the resolution notes and the historical ticket INC0035844, the following steps are recommended:

1. Check if there are other returns that need to be completed first with Lion Connect or others.
2. Confirm the above step.
3. Increase the quantity of the line item of STO number for an additional CAR to match the actual picked quantity. This step needs to be performed by Renata Dillon.
4. Once the STO quantity is increased, create a new delivery for this CAR to match the actual picked quantity.
5. Manually PGI the Outbound Delivery (OBD).
6. If the batch is not extended to sloc 1010, process another return to create the batch in sloc 1010.
7. After the batch is created in sloc 1010, run the PGI job successfully.

Please note that these recommendations are based on the information provided in the ticket and my own knowledge."
INC0047611,[BRQ] PSD flag disappears for customer,4 - Low,AM - SAP O2C,"Hi,
The PSD flag for Douglas Park Cellars 10166374 keeps dropping off in the nightly update. Can you please investigate why this is happening and make sure the customer remains on PSD?

Thanks,
Hayley S",SAP Data Services,SAP,Other,"Issue: PSD flag disappears for customer
Resolution: PSD was not active, it changed on 06.11.2023
Application: S4
Change Request:NA

We would like to appreciate if you can response back to the survey generated upon ticket closure to help us in improving the service to the business","ISSUE:
The ticket INC0047611 was raised due to an issue with the PSD flag for Douglas Park Cellars (customer number 10166374) in the SAP Data Services system. The PSD flag for this customer kept disappearing during the nightly update. The user, Hayley S, requested an investigation into why this was happening and asked for assurance that the customer would remain on PSD.

","RECOMMENDATIONS:
Upon investigation, it was found that the PSD was not active and it had changed on 06/11/2023. The team assigned to the ticket, AM - SAP O2C, confirmed that the customer 10166374 remains in PSD. The resolution was to ensure the PSD flag remains active for the customer. The steps breakdown for the resolution process is as follows:

1. Identify the issue with the PSD flag for the customer.
2. Investigate the cause of the PSD flag disappearing during the nightly update.
3. Confirm that the PSD was not active and it had changed on a specific date.
4. Ensure the customer remains in PSD.
5. Communicate the resolution to the user and request feedback through a survey to improve the service to the business.
6. Close the ticket once the issue has been resolved and the user has been informed.

Please note that these recommendations are based on the information provided in the ticket."
INC0047606,[BRQ] Ship To Creation Issue Again,4 - Low,AM - SAP O2C,"I have created 2 new temp ship tos via the ÒRequest New CustomerÓ button in CR.  However, after submitting the details, I could not search the address of the one I just created. Same issue as INC0046866 last week",SAP S4 Order to Cash (O2C),SAP,Order to Cash (O2C),"Issue: Ship To Creation Issue Again
Resolution: There were some stuck queues while transferring the ship to created form S4 to CRM. We have successfully cleared it and the ship to created will be visible in CRM as well.
Application: CRM
Change Request:NA

We would like to appreciate if you can response back to the survey generated upon ticket closure to help us in improving the service to the business","ISSUE:
The ticket INC0047606 pertains to an issue with the creation of new temporary ""ship to"" addresses in the SAP S4 Order to Cash (O2C) system. The user reported that after submitting the details for two new temporary ""ship to"" addresses via the ""Request New Customer"" button in CR, they were unable to search for the address of the one they just created. This issue was similar to a previous issue (INC0046866) that occurred the previous week. Upon investigation, it was found that there were some stuck queues while transferring the ""ship to"" created from S4 to CRM.

","RECOMMENDATIONS:
1. Clear Stuck Queues: The issue was resolved by clearing the stuck queues that were hindering the transfer of the ""ship to"" created from S4 to CRM. This action was successfully performed by the support team.
2. Verify Visibility in CRM: After clearing the queues, the ""ship to"" created should be visible in CRM. The user should check to confirm this.
3. Regular Monitoring: To prevent similar issues in the future, regular monitoring of the transfer process from S4 to CRM is recommended to identify and clear any stuck queues promptly.
4. Feedback: The user is encouraged to respond back to the survey generated upon ticket closure to help improve the service to the business.

Please note that these recommendations are based on the resolution notes provided in the ticket and not generated by me."
INC0047593,[BRQ] Consumer Created 60014916 - Unable to locate in CRM,4 - Low,AM - SAP O2C,"Hi team,
I created a consumer to log a complaint and I can see the details in C4C, but am unable to get them up on CRM to enter the complaint.
Please help.",SAP S4 Order to Cash (O2C),SAP,Order to Cash (O2C),"Issue: Consumer Created 60014916 - Unable to locate in CRM
Resolution: There were some stuck queues while transferring the ship to created form S4 to CRM. We have successfully cleared it and the ship to created will be visible in CRM as well.
Application: CRM
Change Request:NA

We would like to appreciate if you can response back to the survey generated upon ticket closure to help us in improving the service to the business","ISSUE:
The user created a consumer to log a complaint and was able to see the details in C4C (Cloud for Customer), but was unable to access them on CRM (Customer Relationship Management) to enter the complaint. The issue was categorized under SAP, specifically the subcategory of Order to Cash (O2C). The ticket was assigned to the AM - SAP O2C group and was given a low priority.

","RECOMMENDATIONS:
1. The issue was identified as some stuck queues while transferring the ship-to details from S4 to CRM.
2. The team successfully cleared these stuck queues.
3. As a result, the ship-to details created should now be visible in CRM.
4. The user was asked to check and confirm if the issue was resolved.
5. The user confirmed that they could now see the consumer and add a complaint in CRM, leading to the closure of the ticket.

Please note that these recommendations are based on the resolution notes provided in the ticket and my understanding of the CRM and C4C systems."
INC0047548,[BRQ][PGI1-IAP1]Order 12846096 appearing on Law Interface Report as an error,4 - Low,AM - SAP LAW,"Hi team, order 12846096 is appearing on the Law Interface report with 6 confirmations of service. I have spoken to Andrea Mackie who has confirmed the order needs to be PGI'd as the short delivered stock has in fact been delivered 
raising a ticket as i am not sure if this has been picked up on the previous Law error ticket",SAP S4 Logistics and Warehousing (LAW),SAP,Order to Cash (O2C),"Root cause: Rounding value of the material was setup incorrectly so it is not pgi'd
Resolution: Resolution: AM team manually updated OBD qty and STO qty, manually PGI'd OBD.","ISSUE:
The ticket INC0047548 pertains to an issue with Order 12846096 appearing on the Law Interface report as an error. The order had 6 confirmations of service and was confirmed to need Post Goods Issue (PGI) as the short delivered stock had been delivered. The issue was categorized under SAP and specifically under Order to Cash O2C in the SAP S4 Logistics and Warehousing LAW system. The root cause of the problem was identified as the incorrect setup of the rounding value of the material, which prevented the PGI.

","RECOMMENDATIONS:
1. Check the status of the order in the Law Interface report.
2. If the order is appearing as an error, investigate the cause. In this case, the rounding value of the material was set up incorrectly.
3. Resolve the issue by manually updating the Outbound Delivery (OBD) quantity and Stock Transport Order (STO) quantity.
4. Manually Post Goods Issue (PGI) the OBD.
5. Confirm the resolution with the business and proceed to close the ticket if no further action is needed.

Please note that these recommendations are based on the resolution notes provided in the ticket and my understanding of typical procedures in the SAP S4 Logistics and Warehousing LAW system."
INC0047546,[BRQ-DT][RPT1-SUE1]Committed Measure Empty In BW Query /LION/CP_R2R02_Q006,4 - Low,AM - SAP RAA,"Hi enable.me,

Can you please route this ticket to RAA BW support team? 

RAA team, the measure Committed in BW Query /LION/CP_R2R02_Q006 is coming through empty for all entries. After troubleshooting in Abdul, we have identified an issue with an extract job in LION/AD_R2R13 where each load is being deleted repeatedly.

Attached are screenshots of job, deleting loads and example spreadsheet

Can you please look into this for me? Give me a shout if you need any details

Cheers,

Nick",SAP Business Warehouse for HANA (BW4HANA),SAP,Reporting & Analytics (RAA),"Issue: No data in BW Query /LION/CP_R2R02_Q006
Impact; Delay in month end reporting
Resolution:
1. Query is part of month data load process chain PC_ME_R2R_CO and it runs every for 2 hours, while running the pc there will be no data in this query, user need to wait until job complete.
2. once job complete inform user to validate the data in report and ask the user confirmation for ticket closure
3. user agreed to close the ticket.","ISSUE:
The ticket INC0047546 was raised due to an issue with the measure 'Committed' in the BW Query LIONCP_R2R02_Q006, which was coming through as empty for all entries. The problem was identified in the SAP Business Warehouse for HANA BW4HANA. After troubleshooting, an issue was identified with an extract job in LIONAD_R2R13 where each load was being deleted repeatedly. This issue was causing a delay in month-end reporting.

","RECOMMENDATIONS:
1. The resolution for this issue involved understanding that the query is part of the monthly data load process chain PC_ME_R2R_CO, which runs every 2 hours. During the running of the process chain, there will be no data in this query, and the user needs to wait until the job is complete.
2. Once the job is complete, the user should be informed to validate the data in the report and asked for confirmation for ticket closure.
3. The user agreed to close the ticket, indicating that the issue was resolved.
4. It was also clarified that the process chain runs during the month-end, which falls in the first week of the current month, according to the calendar. The process chain runs the whole week, and the final day for the month-end was the day the ticket was resolved.
5. The user was advised to check the data after the process chain finished running.

Please note that these recommendations are based on the information provided in the ticket and the actions taken by the team handling the issue."
INC0047545,[BRQ][PGI1-IIT1]7403836168%2 & 7403836169%1 failed to PGI,4 - Low,AM - SAP LAW,"Hi Alma,

As just discussed on Teams, please see WMS pick data attached.

Thanks",SAP S4 Logistics and Warehousing (LAW),SAP,Logistics and Warehousing (LAW),"Root cause : Multiple split STO's have been failed to PGI due to DFN implementation in BVC on last Friday 27th oct.
Resolution: AM Team manually processed and  PGI'd.
Prevention Action is Still pending with BVC . Raised problem ticket to follow up with BVC. PRB0040431","ISSUE:
The ticket INC0047545 pertains to a failure in the Post Goods Issue (PGI) process for the order 74038361691. The issue was categorized as low priority and was assigned to the AM SAP LAW team. The problem arose due to multiple split Stock Transport Orders (STOs) failing to PGI because of a DFN implementation in Bevchain on the 27th of October. 

","RECOMMENDATIONS:
The AM team manually processed and PGId the order as a resolution. However, the preventive action is still pending with Bevchain and a problem ticket PRB0040431 has been raised to follow up with them. 

Based on historical tickets, it is recommended to ensure that all necessary batches are created at the time of pick and ship confirmation to avoid similar issues in the future. This recommendation is generated by GenAI and is based on the information provided in the ticket."
